stop_id,stop_lat,stop_lon
5455961,50.42111,15.03972
5453923,49.93555,16.4225
5455670,50.26166,15.72583
8012267,51.620608,13.5642259
5474592,49.358713,14.970779
5455739,50.71583,14.19111
5433294,49.66944,18.47277
5454589,50.3708201,13.7990306
5474332,49.42,14.76972
5433655,49.47805,15.64138
5433865,49.34472,17.60888
5456191,50.35527,14.93944
5454056,50.11055,14.22
5454061,50.11027,14.21944
5454010,50.28916,16.15222
5473014,49.55611,13.99916
5455590,50.34583,15.60972
5474222,49.35666,15.27416
5473922,48.8770814,13.8615858
5433284,49.67083,18.41416
5435435,48.8225,16.52583
5475325,49.65638,13.30333
5476935,49.68138,13.32388
5453080,50.15944,15.65666
5453226,49.92722,14.28777
5473815,49.37166,13.08805
5453713,49.99555,16.13611
5455316,49.75222,14.76166
5454267,50.43694,14.29611
5455646,49.78972,14.18333
5453011,50.14,15.26361
5455650,50.28277,15.69555
5456859,50.57361,14.64666
5454446,50.22055,14.35055
5454929,50.3401258,13.6275534
5434885,48.91194,16.36777
5433304,49.92305,18.11916
5433794,49.92416,18.08222
5454306,50.38861,14.43638
5474842,49.03416,15.37472
5455911,50.44138,15.13222
5454173,49.66138,15.38055
5455556,49.94694,14.39666
5475830,49.34277,15.46166
5453360,50.0126049,16.4743731
5456289,50.75,14.33555
5474745,49.58,13.09305
5456479,50.956354,14.517977
5433105,49.3875,16.63361
5453390,49.9893786,16.39739
5453460,50.0893984,16.720932
5436425,49.35638,16.34722
5476735,50.23916,12.4125
5434134,49.91222,18.41416
5453510,50.06573,16.7474326
5473062,49.41388,14.11305
5456699,50.88611,14.62055
5454962,50.76027,15.32305
5456529,50.98333,14.28305
5476142,49.2875,13.80083
5474482,49.183949,15.031038
5433275,49.32277,15.74722
5474095,49.81694,13.575
5455829,50.59666,14.04805
5474985,50.01166,12.53972
5434074,49.89472,17.77388
5455639,50.84638,14.215
5455649,50.83722,14.22333
5433065,49.3525,17.16166
5475635,49.73527,12.73916
5456562,50.60361,15.17111
5454273,49.58583,15.56416
5473262,49.30055,13.91555
5105743,50.2131508,16.6552382
5433422,49.74027,17.44472
5455346,49.71472,14.83666
5473515,49.435,12.94305
5473525,49.43555,12.925
5453829,50.4794349,13.3515293
5477012,48.8279268,14.3347904
5455921,50.3970756,15.1055788
5455019,50.2329394,13.7225325
5435995,49.43861,16.62166
5435225,49.42833,16.35138
5474575,50.2116395,12.8318788
5454312,50.60777,15.10166
5473592,49.32166,14.7175
5453260,50.10916,16.25861
5475672,49.20805,14.79972
5433452,49.5825,17.07972
5456466,49.93694,15.06277
5433472,49.55222,17.68222
8012453,51.0402452,13.7320768
8012470,51.0658669,13.7405404
5455459,50.39861,14.0125
5475605,49.62888,12.72194
5457069,50.60972,14.35944
5473775,49.33527,13.1775
5454209,50.6975,13.76194
5453339,50.61722,13.755
5475850,49.38416,15.49833
5473652,48.85527,14.89694
5453833,49.98416,16.19194
5456740,50.41361,15.79805
5433835,48.85,16.12055
5456381,50.25583,15.21527
5474531,49.14055,14.62194
5433715,49.61,16.84805
